year,month,day,close,volume,start,high,low
2019,10,18,150500,245740,151500,153500,150000
2019,10,17,153000,280276,155000,156500,152000
2019,10,16,154500,280882,151500,155000,151000
2019,10,15,151500,297569,156500,156500,150500
2019,10,14,156000,246407,156000,156500,153500
2019,10,11,156000,216730,156500,157000,153500
2019,10,10,153500,404228,151500,155500,150500
2019,10,8,153500,250805,154500,154500,151500
2019,10,7,153000,387749,150500,153500,150000
2019,10,4,150500,602642,155500,159000,148500
2019,10,2,157000,203708,159000,160000,156500
2019,10,1,160000,260668,157500,160000,157000
2019,9,30,157000,313910,155000,157500,154500
2019,9,27,156000,241249,158500,158500,154500
2019,9,26,158000,313084,157500,159000,156500
2019,9,25,158000,274586,155500,159000,155500
2019,9,24,158000,195994,157000,158500,155500
2019,9,23,157000,204570,157500,158000,155500
2019,9,20,157000,390181,156000,158000,156000
2019,9,19,157500,377446,157000,158000,156000
2019,9,18,159000,465208,156000,159500,155500
2019,9,17,155000,304106,153000,155500,153000
2019,9,16,154500,449618,154500,156500,153500
2019,9,11,153500,738431,150500,154000,150000
2019,9,10,150500,297053,153000,153000,150000
2019,9,9,153000,464232,149500,154000,148500
2019,9,6,149500,223250,146000,150000,145500
2019,9,5,147000,548033,150000,151000,145000
2019,9,4,151000,351494,149500,151000,149000
2019,9,3,150500,308863,151500,151500,149000
2019,9,2,150000,371788,156000,156000,147500
2019,8,30,146500,424498,146000,149000,144500
2019,8,29,145000,408164,146500,146500,143500
2019,8,28,146500,309159,146500,147500,144500
2019,8,27,146500,904199,144000,147500,141500
2019,8,26,143500,423695,145500,147000,143000
2019,8,23,148500,491690,149000,149000,145500
2019,8,22,148000,499537,148000,150500,147500
2019,8,21,147500,514109,144500,148500,142500
2019,8,20,145500,556246,139000,145500,139000
2019,8,19,139000,487500,139000,141000,138000
2019,8,16,139500,351686,138500,140500,137500
2019,8,14,139000,433070,142500,143000,138500
2019,8,13,142500,352863,139000,144500,138500
2019,8,12,140500,217292,142500,144500,140500
2019,8,9,142500,368133,142000,145000,140500
2019,8,8,140000,496443,139500,142000,136500
2019,8,7,137500,336416,139000,139500,136000
2019,8,6,138500,610095,134000,140000,132000
2019,8,5,138000,733982,141000,142000,135500
2019,8,2,142000,484009,139000,142500,138500
2019,8,1,140500,460049,139500,141500,138500
2019,7,31,138000,361525,139000,139500,136000
2019,7,30,138500,364674,140000,140500,136500
2019,7,29,138500,583629,139500,141000,137000
2019,7,26,141000,1440686,137500,142000,136500
2019,7,25,134000,1635774,125500,134500,125000
2019,7,24,123500,606769,122500,124500,122500
2019,7,23,122500,358255,122500,123000,122000
2019,7,22,121000,346897,122000,122500,120500
2019,7,19,122500,445122,121000,123000,121000
2019,7,18,120500,267715,118500,122000,118500
2019,7,17,119000,205316,120000,120000,118000
2019,7,16,120000,391260,119000,120500,117500
2019,7,15,118000,263893,118000,120000,116500
2019,7,12,117000,160685,117000,118500,116500
2019,7,11,117000,293389,115500,118000,115500
2019,7,10,115500,267438,116500,119000,115500
2019,7,9,115500,460058,118000,120000,115000
2019,7,8,118500,306897,120500,121000,118000
2019,7,5,121000,409700,118500,121500,118500
2019,7,4,118000,355658,116000,119500,116000
2019,7,3,117500,408701,116000,118500,115000
2019,7,2,115000,273980,114000,115500,112000
2019,7,1,114500,306736,114500,115500,114000
2019,6,28,114000,267404,114500,115500,112500
2019,6,27,115000,375582,115500,116000,113000
2019,6,26,115500,300077,114500,116500,114000
2019,6,25,114500,473961,114000,116000,113000
2019,6,24,113500,254210,113000,113500,112000
2019,6,21,113000,555965,112500,115000,111500
2019,6,20,111500,282163,110000,112000,109000
2019,6,19,110000,483689,110000,110000,107000
2019,6,18,109000,791946,109500,110000,106500
2019,6,17,110500,475346,111500,111500,110000
2019,6,14,111500,553083,112000,113000,110500
2019,6,13,113000,551067,114500,115500,112000
2019,6,12,114000,354664,112000,114500,112000
2019,6,11,113000,423258,114000,114500,112500
2019,6,10,114000,464590,111500,114500,111000
2019,6,7,111000,386800,110000,112000,110000
2019,6,5,110500,471689,112000,112500,109500
2019,6,4,111000,531826,114000,114500,110500
2019,6,3,115000,391824,113000,115000,112000
2019,5,31,111500,310649,111500,112500,110000
2019,5,30,112000,378379,110000,114000,109500
2019,5,29,109500,515196,109000,111000,108500
2019,5,28,108500,1490526,109500,112500,108500
2019,5,27,110500,369902,112500,113000,109500
2019,5,24,113500,408081,113000,115000,112500
2019,5,23,113000,545497,112500,114000,110000
2019,5,22,113000,567069,115000,115000,111000
2019,5,21,114500,603105,117500,119500,113500
2019,5,20,118500,449916,121500,121500,118000
2019,5,17,121000,439545,120000,123500,118500
2019,5,16,119000,484468,120500,121000,118000
2019,5,15,120000,460936,121500,123000,120000
2019,5,14,122000,532037,121000,123500,119500
2019,5,13,122500,343827,121500,124000,121500
2019,5,10,122500,474352,120500,123000,120000
2019,5,9,119000,799208,122500,124000,119000
2019,5,8,123500,317483,122000,124000,122000
2019,5,7,124000,696627,122000,125500,121500
2019,5,3,124000,705503,122000,124500,121500
2019,5,2,122000,691901,119000,124000,118500
2019,4,30,119500,569162,119000,120000,117500
2019,4,29,120000,429353,118500,120000,117000
2019,4,26,118000,544042,120000,120500,117500
2019,4,25,120500,720472,122000,122000,120000
2019,4,24,121000,906235,122000,122500,119500
2019,4,23,120500,815629,119000,121000,119000
2019,4,22,118000,531346,118000,119500,117500
2019,4,19,118000,247009,119000,119000,117500
2019,4,18,118000,776721,119000,120000,117000
2019,4,17,119500,639441,120000,120000,119000
2019,4,16,119500,973625,119500,120500,119000
2019,4,15,119500,596131,119000,120000,118000
2019,4,12,119500,953216,121500,122000,119500
2019,4,11,121500,615217,121500,123000,121000
2019,4,10,122000,459206,121500,122500,121000
2019,4,9,121500,423498,121500,122500,121000
2019,4,8,121500,393376,122500,123000,121000
2019,4,5,123000,365838,122500,123500,122000
2019,4,4,122500,361821,122500,123500,121500
2019,4,3,122000,958364,123000,123500,121000
2019,4,2,124500,471744,124500,125500,123500
2019,4,1,124000,367014,124000,125500,123500
