year,month,day,close,start,high,low,volume
2019,10,18,272.81,275.99,277.06,272.28,"71,469"
2019,10,17,275.57,275.92,276.68,274.62,"53,875"
2019,10,16,276.32,276.26,277.59,275.24,"65,378"
2019,10,15,274.34,273.85,275.09,273.83,"53,052"
2019,10,14,274.23,274.71,275.75,273.97,"71,046"
2019,10,11,271.3,271.68,272.68,270.58,"59,637"
2019,10,10,268.8,268.79,270.78,266.23,"98,180"
2019,10,8,271.36,268.9,271.51,267.97,"75,078"
2019,10,7,267.67,269.12,269.75,266.83,"53,574"
2019,10,4,267.39,268.14,270.16,267.39,"62,877"
2019,10,2,268.55,272.39,272.42,268.55,"66,212"
2019,10,1,274.42,273.43,275.38,272.81,"52,634"
2019,9,30,273.55,270.61,273.85,270.06,"54,691"
2019,9,27,271.33,273.32,273.4,270.52,"57,737"
2019,9,26,274.89,275.61,276.38,273.5,"89,590"
2019,9,25,274.42,276.67,277.04,274.12,"70,837"
2019,9,24,277.97,276.41,278.17,275.55,"68,274"
2019,9,23,276.65,275.86,277.11,275.64,"60,186"
2019,9,20,276.44,275.01,276.67,274.46,"74,027"
2019,9,19,274.92,273.11,276.15,273.03,"70,498"
2019,9,18,273.06,271.88,273.72,271.04,"67,595"
2019,9,17,271.68,271.46,272.26,270.9,"73,743"
2019,9,16,272.02,271.48,272.03,269.59,"103,337"
2019,9,11,270.84,270.35,271.35,269.58,"103,898"
2019,9,10,268.76,267.96,269.13,267.35,"66,345"
2019,9,9,267.4,266.11,268.67,265.92,"62,207"
2019,9,6,265.53,266.2,266.36,264.74,"59,196"
2019,9,5,264.44,262.53,266,262.27,"88,987"
2019,9,4,261.69,257.89,261.69,257.76,"69,291"
2019,9,3,258.25,258.55,259.67,257.4,"64,324"
2019,9,2,259.08,258.25,259.74,257.8,"54,887"
2019,8,30,259,256.85,259.61,256.72,"94,156"
2019,8,29,254.31,255.68,256.28,253.6,"64,847"
2019,8,28,255.53,254.2,255.98,253.65,"58,342"
2019,8,27,253.5,253.74,254.96,252.53,"93,381"
2019,8,26,252.19,251.8,253.14,250.99,"62,612"
2019,8,23,256.11,255.11,256.88,254.91,"54,778"
2019,8,22,256.28,258.53,258.73,256.25,"67,255"
2019,8,21,258.38,257.15,259.49,257.11,"65,481"
2019,8,20,258.05,255.53,258.62,254.74,"81,693"
2019,8,19,255.11,255.2,255.84,254.25,"66,019"
2019,8,16,253.9,252.76,253.94,251.46,"71,831"
2019,8,14,254.86,255.84,256.82,254.59,"82,238"
2019,8,13,252.83,253.5,254.58,252.63,"76,819"
2019,8,12,255.35,255.57,256.43,254.43,"69,377"
2019,8,9,254.85,255.13,256.15,254.41,"117,693"
2019,8,8,252.4,254.11,255.33,252.37,"163,707"
2019,8,7,252,254.46,254.9,251.08,"90,745"
