year,month,day,close,volume,start,high,low
2019,10,18,"77,400","13,625,664","81,500","81,700","77,300"
2019,10,17,"81,000","1,713,942","82,000","82,200","80,600"
2019,10,16,"82,400","2,436,269","82,400","82,700","81,900"
2019,10,15,"81,200","1,518,810","80,700","81,700","80,500"
2019,10,14,"80,500","1,972,409","82,000","82,300","80,400"
2019,10,11,"80,000","2,186,536","79,800","80,500","79,400"
2019,10,10,"79,000","4,389,324","78,900","79,600","78,100"
2019,10,8,"80,900","1,816,880","80,400","81,100","79,400"
2019,10,7,"80,300","1,229,105","80,700","81,700","79,800"
2019,10,4,"80,300","2,430,603","78,900","81,300","78,900"
2019,10,2,"79,500","2,188,097","81,600","81,600","79,500"
2019,10,1,"82,000","2,370,210","81,800","82,500","81,700"
2019,9,30,"82,200","2,442,478","80,600","82,900","80,400"
2019,9,27,"81,400","2,625,620","80,200","81,500","80,100"
2019,9,26,"83,300","1,734,941","83,000","83,500","82,500"
2019,9,25,"81,900","1,644,881","82,200","82,800","81,500"
2019,9,24,"83,400","1,662,830","82,500","83,500","81,400"
2019,9,23,"82,800","1,413,663","81,900","83,300","81,900"
2019,9,20,"82,200","2,447,172","82,800","83,400","82,100"
2019,9,19,"82,700","3,612,220","80,600","82,700","80,300"
2019,9,18,"80,200","2,706,678","80,100","80,600","79,500"
2019,9,17,"79,400","2,538,780","80,000","80,400","79,100"
2019,9,16,"79,500","5,174,391","81,000","81,000","79,000"
2019,9,11,"82,600","3,650,902","83,400","84,300","81,300"
2019,9,10,"83,100","1,761,883","84,200","84,200","82,700"
2019,9,9,"84,300","2,642,174","83,100","84,600","82,500"
2019,9,6,"81,900","2,418,057","84,000","84,000","81,500"
2019,9,5,"83,000","4,068,631","81,400","83,000","81,200"
2019,9,4,"80,000","2,723,541","77,400","80,000","77,300"
2019,9,3,"77,000","1,611,563","77,200","77,600","76,300"
2019,9,2,"77,600","1,431,352","77,000","78,200","76,500"
2019,8,30,"77,400","3,839,246","74,600","78,000","74,600"
2019,8,29,"73,300","2,050,860","73,500","74,100","72,000"
2019,8,28,"73,300","1,380,522","73,500","73,700","72,500"
2019,8,27,"73,000","2,512,610","72,500","73,700","72,500"
2019,8,26,"71,800","2,645,491","72,600","73,000","71,500"
2019,8,23,"74,400","1,695,532","73,500","75,200","73,400"
2019,8,22,"73,800","2,309,550","75,300","76,000","73,800"
2019,8,21,"75,800","1,898,789","75,900","76,900","75,500"
2019,8,20,"76,400","1,694,275","75,500","76,600","75,100"
2019,8,19,"75,100","1,591,728","77,300","77,500","74,800"
2019,8,16,"76,400","2,015,785","75,800","76,400","75,100"
2019,8,14,"76,900","2,561,643","77,200","77,900","76,200"
2019,8,13,"74,500","1,304,708","74,000","75,100","73,700"
2019,8,12,"74,500","1,254,926","73,700","75,000","73,500"
2019,8,9,"73,300","2,100,380","73,200","74,100","72,300"
2019,8,8,"72,300","2,943,206","73,600","74,500","72,000"
2019,8,7,"73,300","2,692,841","72,000","74,300","72,000"
2019,8,6,"72,000","5,008,247","73,100","73,900","71,900"
2019,8,5,"75,400","2,889,902","75,500","76,000","74,900"
2019,8,2,"76,100","4,845,952","75,400","76,800","74,900"
2019,8,1,"77,700","3,397,831","75,300","78,700","75,300"
2019,7,31,"76,900","3,712,241","78,000","79,100","75,300"
2019,7,30,"78,900","2,371,300","78,200","80,000","77,700"
2019,7,29,"77,000","2,616,782","79,000","79,400","76,500"
2019,7,26,"79,800","3,095,260","78,100","80,300","78,000"
2019,7,25,"79,200","3,963,383","79,700","80,400","77,700"
2019,7,24,"77,600","3,562,342","78,800","80,200","77,100"
2019,7,23,"78,800","4,814,941","79,700","80,700","78,200"
2019,7,22,"78,400","3,213,786","77,800","79,200","77,000"
2019,7,19,"76,800","2,635,348","75,900","77,000","75,600"
