year,month,day,close,volume,start,high,low
2019,10,18,181500,435152,188000,188500,181000
2019,10,17,188000,386801,188500,190000,186500
2019,10,16,187000,446617,186500,188000,184500
2019,10,15,183500,251875,182000,184000,180500
2019,10,14,182500,326855,184000,184000,180500
2019,10,11,181500,508087,182000,185000,180000
2019,10,10,181000,607459,179000,182000,177500
2019,10,8,180500,623940,179500,182000,175500
2019,10,7,178500,703398,174000,179500,173000
2019,10,4,173000,430560,172500,174500,171000
2019,10,2,172500,614668,172000,176500,171000
2019,10,1,173500,1232784,169000,174500,166500
2019,9,30,164000,514888,166500,167000,160500
2019,9,27,166000,265476,168500,169000,165000
2019,9,26,167000,403484,167500,170000,165500
2019,9,25,166500,588251,168500,171000,165500
2019,9,24,168500,825451,168500,170500,166000
2019,9,23,171000,884762,176500,176500,169000
2019,9,20,175500,595515,169000,176000,169000
2019,9,19,168500,766855,174500,175000,167000
2019,9,18,173500,551625,172500,175500,172000
2019,9,17,171000,731052,170500,174500,169000
2019,9,16,170500,571746,169500,171000,166500
2019,9,11,169000,995168,166500,171000,166000
2019,9,10,165000,324994,166500,168000,164500
2019,9,9,166000,319810,167500,167500,165000
2019,9,6,165500,354981,165000,166000,162000
2019,9,5,164000,646888,169000,170000,163000
2019,9,4,167500,809996,160000,168000,160000
2019,9,3,160500,803172,156500,163000,156500
2019,9,2,156500,380075,156000,159000,152500
2019,8,30,157000,502672,160500,161000,156500
2019,8,29,157000,1018768,156500,161500,154500
2019,8,28,156000,1109554,145000,156500,144000
2019,8,27,145000,739633,145500,148000,143500
2019,8,26,141500,1170629,147500,149500,140500
2019,8,23,151500,431910,149500,153000,149000
2019,8,22,152500,497935,157000,158000,152000
2019,8,21,156500,593283,155000,160500,154500
2019,8,20,155000,330814,153500,155000,152000
2019,8,19,153000,331502,154500,156500,152000
2019,8,16,154000,414772,152500,154500,150000
2019,8,14,153500,607181,159500,159500,153500
2019,8,13,153000,390460,153000,155500,152000
2019,8,12,155000,545830,155000,157000,151500
2019,8,9,155500,792762,155500,159000,154500
2019,8,8,154000,1077964,150500,154000,150000
2019,8,7,148500,1239839,150500,153000,146000
2019,8,6,146500,3426659,138000,155000,137500
2019,8,5,145500,3101964,160000,162000,145500
2019,8,2,163500,1247036,168500,170500,162500
2019,8,1,170500,693633,169500,175500,169500
2019,7,31,170500,1349890,176000,176500,165500
2019,7,30,177000,505434,179500,183500,177000
2019,7,29,179000,433879,183500,184500,179000
2019,7,26,185000,582949,177000,186000,177000
2019,7,25,178000,515167,179000,180500,176500
2019,7,24,180000,466319,182500,183000,178000
2019,7,23,182000,355671,184500,185000,181000
2019,7,22,184500,270774,185500,187500,184000
2019,7,19,184500,453800,180500,185000,180500
2019,7,18,180500,572978,182500,184500,179500
2019,7,17,184500,470563,189000,189500,182500
2019,7,16,188500,537087,182500,191000,182500
2019,7,15,183500,629792,189000,190500,181000
2019,7,12,188500,351584,190500,191000,187500
2019,7,11,191500,751776,189500,193000,188000
