year,month,day,close,volume,start,high,low
2019,10,18,42100,499137,42550,42700,42000
2019,10,17,42700,573355,42250,42850,42250
2019,10,16,42700,1220304,43550,43600,42450
2019,10,15,42550,803578,42800,43150,42350
2019,10,14,42500,701267,41800,42600,41750
2019,10,11,41350,634462,41400,42050,41200
2019,10,10,40900,1307311,40400,41400,40250
2019,10,8,41400,873812,40850,41800,40850
2019,10,7,41100,456818,41100,41550,40800
2019,10,4,40950,861219,41650,41750,40950
2019,10,2,41650,708320,42000,42100,41350
2019,10,1,42350,511608,42000,42600,41700
2019,9,30,41800,948341,41700,42050,41500
2019,9,27,41850,862542,43300,43400,41500
2019,9,26,43000,596081,43050,43400,42700
2019,9,25,42800,608112,42650,43250,42500
2019,9,24,42650,629171,42800,43250,42500
2019,9,23,42850,696938,42550,42950,42200
2019,9,20,42850,1285493,41900,42850,41900
2019,9,19,42250,799147,42050,42450,41950
2019,9,18,42200,1017756,42550,42700,42000
2019,9,17,42750,1077943,42400,42750,42150
2019,9,16,43050,1134944,42700,43550,42450
2019,9,11,42250,1536226,42450,42800,42050
2019,9,10,42200,860884,41550,42350,41550
2019,9,9,41500,612392,41100,42100,41100
2019,9,6,41450,732614,40850,41950,40800
2019,9,5,40900,985650,40900,41800,40750
2019,9,4,41200,976574,40750,41200,40750
2019,9,3,40900,620475,40650,41050,40550
2019,9,2,40850,610078,41600,41600,40550
2019,8,30,40750,1131419,40100,40800,40100
2019,8,29,39950,523113,39850,40050,39600
2019,8,28,39900,846566,39900,40050,39800
2019,8,27,39650,1429563,39750,40000,39550
2019,8,26,39700,948017,40350,40350,39350
2019,8,23,40350,654590,40600,40600,40150
2019,8,22,40450,1025491,40500,40700,40300
2019,8,21,40250,1535624,40300,40700,40100
2019,8,20,40500,1309394,40150,40600,40100
2019,8,19,40600,843633,40600,40750,40000
2019,8,16,40200,1004793,40900,40900,39900
2019,8,14,40450,938166,40400,41100,40300
2019,8,13,40400,989216,40700,40950,40250
2019,8,12,41050,1237500,40950,41300,40950
2019,8,9,41050,1661079,41250,41600,41050
2019,8,8,41200,1857731,41800,42050,41200
2019,8,7,42100,1070803,42550,42550,41400
2019,8,6,42550,1445703,42800,42800,41750
2019,8,5,43050,1010726,42100,43150,42100
2019,8,2,42750,1016527,43950,43950,42400
2019,8,1,44200,858864,43300,44450,43300
2019,7,31,43500,1319452,43350,44300,43250
2019,7,30,43800,931988,43200,44100,43050
2019,7,29,43900,871076,43800,44150,43600
2019,7,26,43650,1877648,44200,44600,43450
2019,7,25,45100,1073784,45850,45850,44850
2019,7,24,45850,976568,46600,46750,45850
2019,7,23,46300,995878,45100,46500,45050
2019,7,22,45450,869680,45550,45800,45000
2019,7,19,45800,1444975,45000,45950,45000
2019,7,18,45250,952539,44950,45300,44700
2019,7,17,45200,839888,44650,45300,44650
2019,7,16,45150,1182110,44900,45250,44300
2019,7,15,44900,837096,44050,45050,44000
2019,7,12,44550,897272,44300,44550,43900
2019,7,11,44300,1517109,43450,44300,43400
2019,7,10,43600,618224,43850,44100,43600
2019,7,9,43650,630662,43800,44050,43400
2019,7,8,43650,620955,44250,44400,43550
2019,7,5,44400,630196,44400,44750,44150
2019,7,4,44450,772043,44250,44500,44200
2019,7,3,44450,763677,44650,44850,44150
2019,7,2,44800,1335748,45000,45000,44600
2019,7,1,45050,1149074,45200,45300,44900
2019,6,28,44900,859688,45100,45450,44750
2019,6,27,45150,1011900,44200,45200,44150
2019,6,26,44600,1207170,44500,44800,44200
2019,6,25,44950,760551,44900,45350,44600
2019,6,24,44850,664836,44800,45050,44400
2019,6,21,44900,1183433,45050,45300,44850
2019,6,20,45000,775169,45350,45900,44950
2019,6,19,46000,615053,46200,46450,45850
2019,6,18,45600,665501,45400,46000,45400
2019,6,17,45250,502974,45150,45850,44800
