year,month,day,close,volume,start,high,low
2019,10,18,123000,418395,123500,124500,122500
2019,10,17,123000,519468,123000,124500,122000
2019,10,16,123000,433874,123000,124000,122000
2019,10,15,122000,661262,122000,123000,120500
2019,10,14,122000,1260866,125000,126000,122000
2019,10,11,126000,369552,127000,127500,126000
2019,10,10,126500,771396,127000,128000,125500
2019,10,8,129500,391115,128000,130500,127500
2019,10,7,128000,258951,128000,129000,127000
2019,10,4,126500,488988,129500,130000,126500
2019,10,2,128500,448012,131000,131500,128000
2019,10,1,132500,388512,134000,134000,131500
2019,9,30,134000,429631,133500,135500,133000
2019,9,27,133500,348902,134000,134000,131000
2019,9,26,133000,453068,136000,136500,132000
2019,9,25,134500,448004,133000,135000,131500
2019,9,24,134000,615506,134000,135000,132000
2019,9,23,133000,1007214,129500,133500,129000
2019,9,20,129500,718752,128500,130500,128000
2019,9,19,129000,618746,127500,129000,126500
2019,9,18,127500,537604,126000,128500,125500
2019,9,17,126000,610086,127500,128000,125500
2019,9,16,128000,777956,128500,129500,126000
2019,9,11,129000,756459,128500,129000,127500
2019,9,10,128000,458487,127000,128500,126500
2019,9,9,127000,378542,127500,128500,126000
2019,9,6,127500,380856,128000,128500,126500
2019,9,5,128000,478990,128000,129000,127000
2019,9,4,128500,496326,128000,129000,127000
2019,9,3,128500,505454,131500,132000,127500
2019,9,2,131000,385326,128000,132000,127500
2019,8,30,128500,433515,127500,129000,127000
2019,8,29,126500,393472,127500,128000,126000
2019,8,28,127500,766622,128500,130500,127000
2019,8,27,125000,1043657,125000,126500,124000
2019,8,26,124500,391828,124000,126000,123500
2019,8,23,126000,256322,123000,126000,123000
2019,8,22,124000,480559,126000,126500,124000
2019,8,21,125500,530685,126500,127500,124000
2019,8,20,126500,481643,127500,128500,125000
2019,8,19,128000,242024,127500,129500,127500
2019,8,16,128000,352114,126500,128000,125000
2019,8,14,127500,614128,130000,131500,127000
2019,8,13,129000,334053,129500,131000,129000
2019,8,12,131000,350563,131000,132500,130000
2019,8,9,132500,521574,131500,132500,129000
2019,8,8,130000,1303906,129000,132500,128500
2019,8,7,127000,752576,126500,129000,126500
2019,8,6,126000,762619,126000,127500,123000
2019,8,5,127500,748862,127500,128000,125500
2019,8,2,127500,605798,126000,128500,124500
2019,8,1,125500,468797,126500,130000,125000
2019,7,31,126500,488189,126500,129000,126500
2019,7,30,128000,321935,129000,129500,126500
2019,7,29,128000,464288,130000,131000,126500
2019,7,26,130500,394087,130500,132500,130000
2019,7,25,131500,613289,131500,133500,130000
2019,7,24,132500,419148,131500,133500,131500
2019,7,23,132000,1128639,133500,133500,128500
2019,7,22,133000,608574,134000,135500,132000
2019,7,19,134500,363374,135500,135500,132000
2019,7,18,134000,355896,133000,134500,132500
2019,7,17,133500,375651,133000,134500,132000
2019,7,16,133000,902923,139000,139000,132000
2019,7,15,138000,280032,139500,140000,137000
2019,7,12,139500,549266,138500,142000,138000
2019,7,11,139000,1070266,136500,140500,135000
2019,7,10,137000,567104,139000,140000,135500
2019,7,9,137500,435577,139500,141500,137000
2019,7,8,138500,339244,140500,142000,138000
2019,7,5,141500,338177,139000,142000,138500
2019,7,4,139000,305720,135500,139500,135000
2019,7,3,136000,582636,136000,138000,134000
2019,7,2,137000,444895,139500,140000,136500
2019,7,1,141000,328363,141500,142500,139500
2019,6,28,140000,274397,140000,141000,139000
2019,6,27,140500,343337,141000,142500,139500
2019,6,26,141500,239375,141000,142000,140000
2019,6,25,141500,294735,142500,142500,140500
2019,6,24,142500,287939,142000,143500,141500
2019,6,21,140500,291573,140000,141000,139500
2019,6,20,140500,259704,139500,141000,139000
2019,6,19,140000,303777,140500,141000,139000
2019,6,18,141000,222606,140500,141500,139500
2019,6,17,140000,228663,140000,141500,139500
2019,6,14,140500,339897,140000,142500,139500
2019,6,13,141000,946951,140500,141500,137500
2019,6,12,141000,535905,143500,143500,139500
2019,6,11,143500,362392,142500,143500,140500
2019,6,10,143000,468996,142000,143000,140000
2019,6,7,140000,492290,141500,142000,139500
2019,6,5,141000,608171,139500,142000,139000
2019,6,4,139000,585901,137000,140500,137000
2019,6,3,138500,651551,134000,138500,132500
2019,5,31,134500,925504,134500,135000,131000
2019,5,30,135500,495640,132500,136500,132500
2019,5,29,134000,637263,135000,135500,131500
2019,5,28,136500,1209912,135000,136500,133000
2019,5,27,135000,716578,130000,135500,130000
2019,5,24,130500,649719,127000,130500,126000
2019,5,23,127500,637184,129000,129500,126500
2019,5,22,127000,381004,127000,129000,126000
2019,5,21,127000,733503,129000,129500,125000
