년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주)
2019-10-18,"295,500","-8,500","263,628","78,745,128,500","301,500","305,000","295,500","20,860,037","70,592,343"
2019-10-17,"304,000","1,000","124,636","37,971,383,000","306,500","307,000","303,000","21,460,072","70,592,343"
2019-10-16,"303,000",0,"169,910","51,370,848,500","303,500","304,500","301,000","21,389,480","70,592,343"
2019-10-15,"303,000","-1,000","127,670","38,716,226,000","304,000","305,500","302,000","21,389,480","70,592,343"
2019-10-14,"304,000","1,500","146,205","44,438,951,500","305,000","306,500","302,000","21,460,072","70,592,343"
2019-10-11,"302,500","5,500","182,446","55,041,061,500","300,500","303,500","299,000","21,354,184","70,592,343"
2019-10-10,"297,000","1,500","224,500","66,305,319,500","294,000","297,500","292,500","20,965,926","70,592,343"
2019-10-08,"295,500","6,500","205,540","60,331,094,500","290,000","296,500","289,500","20,860,037","70,592,343"
2019-10-07,"289,000","-7,000","284,855","82,466,812,000","294,500","297,000","286,500","20,401,187","70,592,343"
2019-10-04,"296,000",-500,"167,424","50,113,823,000","297,500","302,000","296,000","20,895,334","70,592,343"
2019-10-02,"296,500","-8,000","234,302","69,955,158,000","303,500","303,500","296,500","20,930,630","70,592,343"
2019-10-01,"304,500","5,000","190,739","58,048,697,500","299,000","308,500","298,000","21,495,368","70,592,343"
2019-09-30,"299,500","-2,000","214,811","64,293,379,352","300,000","302,500","297,500","21,142,407","70,592,343"
2019-09-27,"301,500","-3,000","273,366","82,576,583,668","303,500","304,500","301,000","21,283,591","70,592,343"
2019-09-26,"304,500",-500,"239,641","73,081,254,000","306,500","307,500","303,500","21,495,368","70,592,343"
2019-09-25,"305,000","-22,000","962,072","296,911,517,000","315,000","315,000","304,000","21,530,665","70,592,343"
2019-09-24,"327,000","3,500","142,221","46,294,754,750","322,500","327,000","322,500","23,083,696","70,592,343"
2019-09-23,"323,500","-5,500","174,354","56,522,412,000","328,500","328,500","323,000","22,836,623","70,592,343"
2019-09-20,"329,000","1,500","158,169","51,887,385,500","327,500","329,000","326,000","23,224,881","70,592,343"
2019-09-19,"327,500","2,000","108,529","35,461,618,000","325,000","328,500","324,500","23,118,992","70,592,343"
2019-09-18,"325,500","-2,000","100,339","32,725,135,000","328,000","328,500","324,500","22,977,808","70,592,343"
2019-09-17,"327,500","3,000","227,963","73,929,741,000","324,000","327,500","320,500","23,118,992","70,592,343"
2019-09-16,"324,500",500,"319,049","102,905,198,090","321,000","326,500","318,500","22,907,215","70,592,343"
2019-09-11,"324,000","2,000","244,506","79,285,121,500","322,000","327,000","321,500","22,871,919","70,592,343"
2019-09-10,"322,000","-3,000","150,462","48,484,513,723","325,500","328,000","320,000","22,730,734","70,592,343"
2019-09-09,"325,000","-3,500","128,902","42,168,996,000","328,000","330,500","325,000","22,942,511","70,592,343"
2019-09-06,"328,500","3,500","111,619","36,611,732,500","326,000","330,000","326,000","23,189,585","70,592,343"
2019-09-05,"325,000","3,500","170,296","55,369,790,000","322,500","328,000","321,000","22,942,511","70,592,343"
2019-09-04,"321,500",-500,"137,210","43,855,719,000","318,500","321,500","318,000","22,695,438","70,592,343"
2019-09-03,"322,000",500,"98,010","31,530,048,500","321,500","323,500","320,000","22,730,734","70,592,343"
2019-09-02,"321,500","-9,000","227,172","72,677,790,000","322,000","324,000","315,500","22,695,438","70,592,343"
2019-08-30,"330,500","5,500","115,040","37,911,169,000","329,000","331,000","327,500","23,330,769","70,592,343"
2019-08-29,"325,000","1,000","70,201","22,819,650,000","325,500","327,500","322,500","22,942,511","70,592,343"
2019-08-28,"324,000","1,000","107,317","34,870,093,750","324,000","329,000","323,000","22,871,919","70,592,343"
2019-08-27,"323,000",-500,"190,393","61,882,254,000","327,000","331,500","321,500","22,801,327","70,592,343"
2019-08-26,"323,500","-6,000","179,599","58,513,947,073","329,500","332,500","322,500","22,836,623","70,592,343"
2019-08-23,"329,500","9,500","178,100","57,991,131,000","316,000","332,500","316,000","23,260,177","70,592,343"
2019-08-22,"320,000","-8,000","165,953","53,777,116,500","327,500","332,000","320,000","22,589,550","70,592,343"
2019-08-21,"328,000","4,000","114,378","37,527,007,000","324,500","330,000","323,500","23,154,289","70,592,343"
2019-08-20,"324,000","3,000","75,449","24,346,812,000","319,500","325,000","319,000","22,871,919","70,592,343"
2019-08-19,"321,000","1,000","84,033","26,931,007,000","321,000","322,000","318,000","22,660,142","70,592,343"
2019-08-16,"320,000","-3,500","85,005","27,077,574,000","320,000","320,500","315,000","22,589,550","70,592,343"
2019-08-14,"323,500","14,500","192,588","61,718,998,500","313,500","323,500","311,500","22,836,623","70,592,343"
2019-08-13,"309,000","-5,000","119,987","37,239,414,000","312,000","314,500","308,500","21,813,034","70,592,343"
2019-08-12,"314,000","-3,000","84,452","26,593,449,000","315,500","317,000","313,000","22,165,996","70,592,343"
2019-08-09,"317,000","-1,000","86,491","27,617,886,500","321,000","322,500","317,000","22,377,773","70,592,343"
2019-08-08,"318,000","2,500","182,984","58,096,094,000","320,000","322,000","314,000","22,448,365","70,592,343"
2019-08-07,"315,500","5,500","164,132","51,568,142,500","309,500","317,500","309,000","22,271,884","70,592,343"
2019-08-06,"310,000","-5,500","287,938","89,318,944,500","301,000","317,500","301,000","21,883,626","70,592,343"
