년/월/일,종가,대비,등락률(%),시가,고가,저가,거래량(천주),거래대금(원),상장시가총액(원)
2019-10-18,272.81,-2.76,-1,275.99,277.06,272.28,"71,469","3,512,327,274,864","1,192,114,946,692,670"
2019-10-17,275.57,-0.75,-0.27,275.92,276.68,274.62,"53,875","2,508,668,709,895","1,203,830,707,072,090"
2019-10-16,276.32,1.98,0.72,276.26,277.59,275.24,"65,378","2,891,322,354,072","1,206,365,380,736,770"
2019-10-15,274.34,0.11,0.04,273.85,275.09,273.83,"53,052","2,319,483,030,543","1,197,673,099,283,180"
2019-10-14,274.23,2.93,1.08,274.71,275.75,273.97,"71,046","2,835,930,851,797","1,197,262,759,050,620"
2019-10-11,271.3,2.5,0.93,271.68,272.68,270.58,"59,637","2,631,562,427,177","1,184,491,700,442,530"
2019-10-10,268.8,-2.56,-0.94,268.79,270.78,266.23,"98,180","4,353,974,613,879","1,174,443,518,051,340"
2019-10-08,271.36,3.69,1.38,268.9,271.51,267.97,"75,078","3,151,788,399,465","1,185,737,859,168,960"
2019-10-07,267.67,0.28,0.1,269.12,269.75,266.83,"53,574","2,374,998,780,805","1,170,566,434,343,290"
2019-10-04,267.39,-1.16,-0.43,268.14,270.16,267.39,"62,877","2,811,074,179,843","1,168,744,997,908,510"
2019-10-02,268.55,-5.87,-2.14,272.39,272.42,268.55,"66,212","2,749,174,720,474","1,174,511,784,286,090"
2019-10-01,274.42,0.87,0.32,273.43,275.38,272.81,"52,634","2,562,235,882,213","1,199,514,624,478,000"
2019-09-30,273.55,2.22,0.82,270.61,273.85,270.06,"54,691","2,509,409,605,465","1,194,255,059,211,550"
2019-09-27,271.33,-3.56,-1.3,273.32,273.4,270.52,"57,737","2,464,564,532,157","1,185,270,829,341,470"
2019-09-26,274.89,0.47,0.17,275.61,276.38,273.5,"89,590","2,989,692,883,768","1,200,355,984,138,730"
2019-09-25,274.42,-3.55,-1.28,276.67,277.04,274.12,"70,837","3,266,808,901,949","1,199,018,576,942,590"
2019-09-24,277.97,1.32,0.48,276.41,278.17,275.55,"68,274","2,880,773,705,939","1,214,554,129,385,140"
2019-09-23,276.65,0.21,0.08,275.86,277.11,275.64,"60,186","2,637,005,690,905","1,208,343,041,833,080"
2019-09-20,276.44,1.52,0.55,275.01,276.67,274.46,"74,027","3,504,949,353,393","1,208,237,807,459,540"
2019-09-19,274.92,1.86,0.68,273.11,276.15,273.03,"70,498","3,251,056,400,655","1,201,104,622,451,250"
2019-09-18,273.06,1.38,0.51,271.88,273.72,271.04,"67,595","2,885,293,905,766","1,194,703,424,233,630"
2019-09-17,271.68,-0.34,-0.12,271.46,272.26,270.9,"73,743","3,067,233,132,366","1,189,772,426,433,890"
2019-09-16,272.02,1.18,0.44,271.48,272.03,269.59,"103,337","4,301,472,917,818","1,190,130,025,287,640"
2019-09-11,270.84,2.08,0.77,270.35,271.35,269.58,"103,898","4,749,975,097,013","1,183,466,354,982,050"
2019-09-10,268.76,1.36,0.51,267.96,269.13,267.35,"66,345","2,956,233,791,358","1,173,572,314,179,560"
2019-09-09,267.4,1.87,0.7,266.11,268.67,265.92,"62,207","2,699,359,791,744","1,166,654,352,203,660"
2019-09-06,265.53,1.09,0.41,266.2,266.36,264.74,"59,196","2,518,199,324,714","1,159,448,996,037,910"
2019-09-05,264.44,2.75,1.05,262.53,266,262.27,"88,987","3,995,513,946,825","1,156,235,194,053,680"
2019-09-04,261.69,3.44,1.33,257.89,261.69,257.76,"69,291","2,966,247,941,921","1,146,321,284,485,520"
2019-09-03,258.25,-0.83,-0.32,258.55,259.67,257.4,"64,324","2,661,293,663,266","1,132,244,733,295,780"
2019-09-02,259.08,0.08,0.03,258.25,259.74,257.8,"54,887","2,142,110,566,595","1,134,691,049,556,660"
2019-08-30,259,4.69,1.84,256.85,259.61,256.72,"94,156","3,343,192,630,243","1,134,140,932,789,970"
2019-08-29,254.31,-1.22,-0.48,255.68,256.28,253.6,"64,847","2,760,368,857,059","1,113,727,845,956,180"
2019-08-28,255.53,2.03,0.8,254.2,255.98,253.65,"58,342","2,318,240,600,526","1,118,646,177,978,380"
2019-08-27,253.5,1.31,0.52,253.74,254.96,252.53,"93,381","3,630,265,074,930","1,109,087,304,785,150"
2019-08-26,252.19,-3.92,-1.53,251.8,253.14,250.99,"62,612","2,492,430,812,999","1,104,159,691,228,280"
2019-08-23,256.11,-0.17,-0.07,255.11,256.88,254.91,"54,778","2,167,244,121,053","1,121,712,153,749,730"
2019-08-22,256.28,-2.1,-0.81,258.53,258.73,256.25,"67,255","2,788,207,817,128","1,122,557,787,543,010"
2019-08-21,258.38,0.33,0.13,257.15,259.49,257.11,"65,481","2,535,558,588,706","1,131,059,671,866,180"
2019-08-20,258.05,2.94,1.15,255.53,258.62,254.74,"81,693","2,693,626,724,455","1,129,186,230,818,390"
2019-08-19,255.11,1.21,0.48,255.2,255.84,254.25,"66,019","2,263,328,984,840","1,117,458,390,938,690"
2019-08-16,253.9,-0.96,-0.38,252.76,253.94,251.46,"71,831","2,757,642,467,772","1,110,674,672,819,490"
2019-08-14,254.86,2.03,0.8,255.84,256.82,254.59,"82,238","3,276,640,342,609","1,115,983,932,932,510"
2019-08-13,252.83,-2.52,-0.99,253.5,254.58,252.63,"76,819","2,897,599,654,112","1,108,083,201,508,060"
2019-08-12,255.35,0.5,0.2,255.57,256.43,254.43,"69,377","2,573,099,713,669","1,118,422,807,698,260"
2019-08-09,254.85,2.45,0.97,255.13,256.15,254.41,"117,693","3,460,645,501,513","1,116,340,757,351,480"
2019-08-08,252.4,0.4,0.16,254.11,255.33,252.37,"163,707","5,065,805,527,292","1,105,795,104,086,250"
2019-08-07,252,-1.41,-0.56,254.46,254.9,251.08,"90,745","3,400,475,060,365","1,102,373,711,047,040"
2019-08-06,253.41,-3.78,-1.47,250.85,257.04,250.24,"123,168","4,868,704,186,086","1,108,798,599,116,050"
2019-08-05,257.19,-5.8,-2.21,261.1,261.4,256.76,"131,043","4,581,363,192,619","1,125,510,535,974,630"
2019-08-02,262.99,-2.74,-1.03,262.61,263.94,261.75,"99,664","3,879,296,495,873","1,151,973,006,854,350"
2019-08-01,265.73,-0.61,-0.23,264.97,267.44,264.47,"72,578","2,900,144,068,054","1,164,062,974,299,770"
2019-07-31,266.34,-2.61,-0.97,268.46,269.14,265,"96,236","3,821,854,343,903","1,167,850,302,010,330"
2019-07-30,268.95,1.2,0.45,268.69,269.79,268.33,"64,530","2,363,742,485,954","1,177,366,149,232,980"
2019-07-29,267.75,-4.5,-1.65,271.21,271.91,267.07,"78,754","2,825,170,333,576","1,172,710,526,269,830"
2019-07-26,272.25,-0.79,-0.29,271.41,272.56,270.57,"89,843","3,464,087,185,487","1,191,883,143,982,230"
2019-07-25,273.04,-0.18,-0.07,274.08,274.62,271.25,"95,653","3,892,367,136,144","1,196,024,612,538,530"
2019-07-24,273.22,-2.7,-0.98,275.12,276.48,272.91,"84,289","3,016,179,050,760","1,199,279,675,777,680"
2019-07-23,275.92,1.37,0.5,274.93,276.56,274.84,"95,081","3,273,220,039,020","1,210,242,425,955,030"
